dimension,palabras,neutro,dirigido_a0.35
d090_divinidad,"agua, piedra",río roca,agua piedra
d090_divinidad,"casa, árbol",casa verde,arbres árbol
d090_divinidad,"fuego, mano",quemadura,mano fuego
d090_divinidad,"ciudad, noche",noche urbana,ciudad noche
d090_divinidad,"pan, río",pan crujiente,pan río
d090_divinidad,"libro, puerta",puerta del,libro puerta
d090_divinidad,"niño, camino",niño viajero,niño camina
d090_divinidad,"mar, montaña",océano montañas,mar montaña
d090_divinidad,"viento, tierra",tierra firme,viento tierra
d090_divinidad,"sol, luna",sol luna,sol luna
d090_divinidad,"perro, flor",perro flores,perro flores
d090_divinidad,"espejo, reloj",reflejo del,espejo sabidura
d090_divinidad,"silencio, sangre",noche oscura,paz amor
d090_divinidad,"hueso, máquina",máquina ósea,máquina hueso
d090_divinidad,"dinero, guerra",beneficios guerra,lucha financiación
d090_divinidad,"madre, sueño",maternidad profundo,madre todo
d090_divinidad,"voz, sombra",voz misteriosa,voz sombra
d090_divinidad,"cielo, muro",nubes pared,cielo muro
d090_divinidad,"semilla, hambre",fertilidad hambre,gracias por
d090_divinidad,"frío, luz",ventanas heladas,luz solar
d090_divinidad,"hierro, vino",cuchara vino,vino vino
d090_divinidad,"barco, campana",buque sonora,barco salvación
d090_divinidad,"llave, red",cerradura digital,red llave
d090_divinidad,"nube, raíz",nube raíz,cielo árbol
d090_divinidad,"ceniza, hilo",cenicero hilo,hilo ceniza
d024_instinto,"agua, piedra",río roca,casa piedra
d024_instinto,"casa, árbol",casa verde,casa del
d024_instinto,"fuego, mano",quemadura,golfo fuego
d024_instinto,"ciudad, noche",noche urbana,calle noctura
d024_instinto,"pan, río",pan crujiente,pescador del
d024_instinto,"libro, puerta",puerta del,libro escondido
d024_instinto,"niño, camino",niño viajero,niño del
d024_instinto,"mar, montaña",océano montañas,mar montaña
d024_instinto,"viento, tierra",tierra firme,hueso terreno
d024_instinto,"sol, luna",sol luna,sol luna
d024_instinto,"perro, flor",perro flores,perro floso
d024_instinto,"espejo, reloj",reflejo del,casa del
d024_instinto,"silencio, sangre",noche oscura,hembra tigre
d024_instinto,"hueso, máquina",máquina ósea,hueso máquina
d024_instinto,"dinero, guerra",beneficios guerra,guerra del
d024_instinto,"madre, sueño",maternidad profundo,madred del
d024_instinto,"voz, sombra",voz misteriosa,voz misteriosa
d024_instinto,"cielo, muro",nubes pared,cielo muro
d024_instinto,"semilla, hambre",fertilidad hambre,hambre semilla
d024_instinto,"frío, luz",ventanas heladas,globo hielo
d024_instinto,"hierro, vino",cuchara vino,hierro vino
d024_instinto,"barco, campana",buque sonora,barco campana
d024_instinto,"llave, red",cerradura digital,red llave
d024_instinto,"nube, raíz",nube raíz,nube terrestre
d024_instinto,"ceniza, hilo",cenicero hilo,hueso hilo
d023_consciencia,"agua, piedra",río roca,ocasionalmente roca
d023_consciencia,"casa, árbol",casa verde,paisaje verde
d023_consciencia,"fuego, mano",quemadura,ojo queimado
d023_consciencia,"ciudad, noche",noche urbana,urbano silento
d023_consciencia,"pan, río",pan crujiente,bocas río
d023_consciencia,"libro, puerta",puerta del,puerta secreta
d023_consciencia,"niño, camino",niño viajero,infantilmente curioso
d023_consciencia,"mar, montaña",océano montañas,océano profundo
d023_consciencia,"viento, tierra",tierra firme,ocasionalmente silente
d023_consciencia,"sol, luna",sol luna,efecto eureka
d023_consciencia,"perro, flor",perro flores,amor verdura
d023_consciencia,"espejo, reloj",reflejo del,tiempo curvado
d023_consciencia,"silencio, sangre",noche oscura,cortesia mortal
d023_consciencia,"hueso, máquina",máquina ósea,osses robóticos
d023_consciencia,"dinero, guerra",beneficios guerra,golfa destrucción
d023_consciencia,"madre, sueño",maternidad profundo,tener un
d023_consciencia,"voz, sombra",voz misteriosa,orales invisibles
d023_consciencia,"cielo, muro",nubes pared,estrella alto
d023_consciencia,"semilla, hambre",fertilidad hambre,cresciente estómuchas
d023_consciencia,"frío, luz",ventanas heladas,ventana helada
d023_consciencia,"hierro, vino",cuchara vino,botella oxidable
d023_consciencia,"barco, campana",buque sonora,vela sonora
d023_consciencia,"llave, red",cerradura digital,corta circuito
d023_consciencia,"nube, raíz",nube raíz,cielo vegetal
d023_consciencia,"ceniza, hilo",cenicero hilo,cortesía un
